# evidence: inventory_phoenix_next
# what: engines, keys, columns, views and their health, read from system.* on phoenix_next
# run_utc: 2026-08-01 23:49:41
# git: fdf9612-dirty
# host: ss-cric
# row_count: 2074162
# event_watermark: 2026-08-01 23:49:21.595
# frozen_before: 2026-08-01
# frozen_slice_rows: 905558   (event_timestamp < frozen_before, the validated corpus)
# ingest_watermark: 2026-08-01 23:49:21   (NOT REPRODUCIBLE, see below)
# ingest_watermark_warning: ingested_at was added by ALTER after the July rows were loaded.
#   ClickHouse does not rewrite existing parts, so for those 905,558 rows the DEFAULT now()
#   is evaluated AT READ TIME and the column equals the wall clock of whichever query reads
#   it. Proven in evidence/ingested_at_nondeterminism. Do not filter on it.
section	object	detail
table	user_platform_transitions	SharedReplacingMergeTree | ORDER BY (toDate(transition_at), transition_type, from_platform, to_platform, content_id, transition_at, user_id, to_session_id) | PARTITION BY (toYYYYMM(transition_at)) | parts 3 | 17.67 KiB
columns	audience_minute_snapshot	minute DateTime, content_id Int64, title String, category LowCardinality(String), video_type LowCardinality(String), platform LowCardinality(String), country LowCardinality(String), app_version LowCardinality(String), concurrent_sessions UInt32, concurrent_users UInt32, session_starts UInt32, first_plays UInt32, session_ends UInt32, foreground_entries UInt32, background_entries UInt32, video_errors UInt32, version UInt64, updated_at DateTime
columns	concurrency_boundary_deltas	platform LowCardinality(String), country LowCardinality(String), video_type LowCardinality(String), content_id Int64, app_version LowCardinality(String), ts DateTime, delta Int32
columns	concurrency_boundary_deltas_mv	platform LowCardinality(String), country LowCardinality(String), video_type LowCardinality(String), content_id Int64, app_version LowCardinality(String), ts DateTime, delta Int16
columns	concurrency_deltas	platform LowCardinality(String), country LowCardinality(String), video_type LowCardinality(String), content_id Int64, app_version LowCardinality(String), minute DateTime, delta Int32
columns	concurrency_deltas_mv	platform LowCardinality(String), country LowCardinality(String), video_type LowCardinality(String), content_id Int64, app_version LowCardinality(String), minute DateTime, delta Int32
columns	concurrency_spike_events	content_id Int64, window_start DateTime, peak_minute DateTime, baseline_concurrency UInt32, peak_concurrency UInt32, absolute_growth Int64, growth_percent Float32, minutes_to_peak UInt16, minutes_above_80pct_peak UInt16, concurrency_after_5m UInt32, concurrency_after_10m UInt32, concurrency_after_15m UInt32, retention_5m_percent Float32, retention_10m_percent Float32, retention_15m_percent Float32, entered_sessions UInt32, background_rate_after_peak Float32, error_rate_after_peak Float32, timeout_rate_after_peak Float32, spike_type LowCardinality(String), confidence Float32, version UInt64, updated_at DateTime
columns	content	content_id Int64, title String, video_type LowCardinality(String), category LowCardinality(String), ingested_at DateTime
columns	content_entry_cohorts	cohort_minute DateTime, content_id Int64, title String, category LowCardinality(String), video_type LowCardinality(String), platform LowCardinality(String), country LowCardinality(String), app_version LowCardinality(String), entered_sessions UInt32, active_after_1m UInt32, active_after_5m UInt32, active_after_10m UInt32, active_after_15m UInt32, retention_1m Float32, retention_5m Float32, retention_10m Float32, retention_15m Float32, avg_active_seconds Float32, median_active_seconds Float32, p90_active_seconds Float32, version UInt64, updated_at DateTime
columns	event_state	video_session_id String, ts DateTime64(3), is_open UInt8, is_open_pause_active UInt8
columns	foreground_intervals	video_session_id String, user_id String, content_id Int64, platform LowCardinality(String), country LowCardinality(String), app_version LowCardinality(String), video_type LowCardinality(String), interval_start DateTime, interval_end DateTime
columns	late_event_audit	event_date Date, video_session_id String, event_timestamp DateTime64(3), arrival_timestamp DateTime64(3), lateness_seconds Int64, lateness_class Enum8(\'on_time\' = 1, \'late_acceptable\' = 2, \'late_after_finalization\' = 3, \'invalid_future_event\' = 4), event_type LowCardinality(String), event LowCardinality(String), recorded_at DateTime
columns	late_event_audit_mv	event_date Date, video_session_id String, event_timestamp DateTime64(3), arrival_timestamp DateTime64(3), lateness_seconds Int64, lateness_class String, event_type LowCardinality(String), event LowCardinality(String)
columns	playback_health_minute	minute DateTime, content_id Int64, platform LowCardinality(String), country LowCardinality(String), app_version LowCardinality(String), video_type LowCardinality(String), active_sessions UInt32, video_error_sessions UInt32, heartbeat_timeout_sessions UInt32, abandoned_sessions UInt32, video_error_rate Float32, heartbeat_timeout_rate Float32, abandonment_rate Float32, version UInt64, updated_at DateTime
columns	raw_events	video_session_id String, user_id String, content_id Int64, event_type LowCardinality(String), event LowCardinality(String), event_timestamp DateTime64(3), platform LowCardinality(String), app_version LowCardinality(String), country LowCardinality(String), audio_language LowCardinality(String), subtitle_language LowCardinality(String), player_version LowCardinality(String), session_start_epoch DateTime64(3), ingested_at DateTime, arrival_timestamp DateTime64(3)
columns	raw_events_landing	content_id Int64, video_session_id String, user_id String, event_type LowCardinality(String), event LowCardinality(String), event_timestamp Int64, platform LowCardinality(String), app_version LowCardinality(String), country LowCardinality(String), audio_language LowCardinality(String), subtitle_language LowCardinality(String), player_version LowCardinality(String), session_start_epoch Int64
columns	raw_events_mv	video_session_id String, user_id String, content_id Int64, event_type LowCardinality(String), event LowCardinality(String), event_timestamp DateTime64(3), platform LowCardinality(String), app_version LowCardinality(String), country LowCardinality(String), audio_language LowCardinality(String), subtitle_language LowCardinality(String), player_version LowCardinality(String), session_start_epoch DateTime64(3), arrival_timestamp DateTime64(3)
columns	session_insight_facts	video_session_id String, user_id String, content_id Int64, title String, category LowCardinality(String), video_type LowCardinality(String), platform LowCardinality(String), country LowCardinality(String), app_version LowCardinality(String), session_start DateTime64(3), first_play_at DateTime64(3), session_end_at DateTime64(3), first_active_at DateTime, last_active_at DateTime, active_seconds UInt32, active_interval_count UInt16, background_count UInt16, foreground_return_count UInt16, pause_count UInt16, resume_count UInt16, heartbeat_count UInt32, video_error_count UInt16, reached_first_heartbeat UInt8, active_after_1m UInt8, active_after_5m UInt8, active_after_10m UInt8, active_after_15m UInt8, ended_normally UInt8, abandoned UInt8, timed_out UInt8, reopened_after_end UInt8, first_event_at DateTime64(3), last_event_at DateTime64(3), version UInt64, updated_at DateTime
columns	session_minute_runs	video_session_id String, user_id String, content_id Int64, platform LowCardinality(String), country LowCardinality(String), app_version LowCardinality(String), video_type LowCardinality(String), run_start DateTime, run_end DateTime, sign Int8
columns	session_state_transitions	video_session_id String, playback_instance_no UInt16, user_id String, content_id Int64, platform LowCardinality(String), country LowCardinality(String), app_version LowCardinality(String), video_type LowCardinality(String), transition_at DateTime64(3), from_state LowCardinality(String), to_state LowCardinality(String), trigger_event_type LowCardinality(String), trigger_event LowCardinality(String), seconds_in_previous_state UInt32, transition_sequence UInt32, version UInt64, sign Int8
columns	user_concurrency_deltas	platform LowCardinality(String), country LowCardinality(String), video_type LowCardinality(String), content_id Int64, app_version LowCardinality(String), minute DateTime, delta Int32
columns	user_concurrency_deltas_mv	platform LowCardinality(String), country LowCardinality(String), video_type LowCardinality(String), content_id Int64, app_version LowCardinality(String), minute DateTime, delta Int32
columns	user_content_transitions	user_id String, from_content_id Int64, from_title String, from_category LowCardinality(String), from_video_type LowCardinality(String), to_content_id Int64, to_title String, to_category LowCardinality(String), to_video_type LowCardinality(String), from_session_id String, to_session_id String, transition_at DateTime64(3), gap_seconds Int32, overlap_seconds Int32, from_platform LowCardinality(String), to_platform LowCardinality(String), transition_type LowCardinality(String), version UInt64, updated_at DateTime
columns	user_minute_runs	user_id String, platform LowCardinality(String), country LowCardinality(String), video_type LowCardinality(String), content_id Int64, app_version LowCardinality(String), run_start DateTime, run_end DateTime, sign Int8
columns	user_platform_transitions	user_id String, content_id Int64, title String, from_platform LowCardinality(String), to_platform LowCardinality(String), from_session_id String, to_session_id String, transition_at DateTime64(3), gap_seconds Int32, overlap_seconds Int32, transition_type LowCardinality(String), version UInt64, updated_at DateTime
view	concurrency_boundary_deltas_mv	MaterializedView :: SELECT platform, country, video_type, content_id, app_version, b.1 AS ts, b.2 AS delta FROM phoenix_next.foreground_intervals ARRAY JOIN [(interval_start, 1), (interval_end, -1)] AS b WHERE interval_start < interval_end
view	concurrency_deltas_mv	MaterializedView :: SELECT platform, country, video_type, content_id, app_version, d.1 AS minute, (d.2) * sign AS delta FROM phoenix_next.session_minute_runs ARRAY JOIN [(run_start, 1), (run_end + toIntervalMinute(1), -1)] AS d
view	event_state	View :: WITH collapsed AS (SELECT video_session_id, ts, min(strict) AS strict_cls, min(loose) AS loose_cls FROM (SELECT video_session_id, event_timestamp AS ts, multiIf((event_type IN (\'AppBackgrounded\', \'VideoSessionEnd\', \'VideoError\')), 0, (event_type = \'VideoHeartbeat\') AND (event IN (\'pause\', \'speed-pause\', \'AdPause\')), 0, (event_type IN (\'VideoSessionStart\', \'VideoPlay\', \'AppForegrounded\')), 1, (event_type = \'VideoHeartbeat\') AND (event IN (\'resume\', \'speed-resume\', \'AdResume\')), 1, NULL) AS strict, multiIf((event_type IN (\'AppBackgrounded\', \'VideoSessionEnd\', \'VideoError\')), 0, (event_type IN (\'VideoSessionStart\', \'VideoPlay\', \'AppForegrounded\')), 1, (event_type = \'VideoHeartbeat\') AND (event IN (\'resume\', \'speed-resume\', \'AdResume\')), 1, NULL) AS loose FROM phoenix_next.raw_events) GROUP BY video_session_id, ts) SELECT video_session_id, ts, coalesce(argMax(strict_cls, if(strict_cls IS NULL, toDateTime64(0, 3), ts)) OVER w, 1) AS is_open, coalesce(argMax(loose_cls, if(loose_cls IS NULL, toDateTime64(0, 3), ts)) OVER w, 1) AS is_open_pause_active FROM collapsed WINDOW w AS (PARTITION BY video_session_id ORDER BY ts ASC ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW)
view	late_event_audit_mv	MaterializedView :: SELECT toDate(event_timestamp) AS event_date, video_session_id, event_timestamp, arrival_timestamp, dateDiff(\'second\', event_timestamp, arrival_timestamp) AS lateness_seconds, multiIf(lateness_seconds < 0, \'invalid_future_event\', lateness_seconds <= 90, \'on_time\', lateness_seconds <= 3600, \'late_acceptable\', \'late_after_finalization\') AS lateness_class, event_type, event FROM phoenix_next.raw_events WHERE (arrival_timestamp > toDateTime64(0, 3)) AND ((dateDiff(\'second\', event_timestamp, arrival_timestamp) > 90) OR (dateDiff(\'second\', event_timestamp, arrival_timestamp) < 0))
view	raw_events_mv	MaterializedView :: SELECT video_session_id, user_id, content_id, event_type, event, fromUnixTimestamp64Milli(event_timestamp) AS event_timestamp, platform, app_version, country, audio_language, subtitle_language, player_version, fromUnixTimestamp64Milli(session_start_epoch) AS session_start_epoch, now64(3) AS arrival_timestamp FROM phoenix_next.raw_events_landing
view	user_concurrency_deltas_mv	MaterializedView :: SELECT platform, country, video_type, content_id, app_version, d.1 AS minute, (d.2) * sign AS delta FROM phoenix_next.user_minute_runs ARRAY JOIN [(run_start, 1), (run_end + toIntervalMinute(1), -1)] AS d
view_health	phoenix_next.concurrency_deltas_mv	QueryFinish x111 last 2026-08-01 23:49:23 | no exceptions
view_health	phoenix_next.late_event_audit_mv	QueryFinish x124 last 2026-08-01 23:49:18 | no exceptions
view_health	phoenix_next.raw_events_mv	QueryFinish x124 last 2026-08-01 23:49:18 | no exceptions
view_health	phoenix_next.user_concurrency_deltas_mv	QueryFinish x110 last 2026-08-01 23:49:25 | no exceptions
