geo_device_id,region,country,device_model,os_version
gd_00148,LATAM,BR,Pixel 8,Android 14
gd_00149,LATAM,MX,iPhone 14,iOS 18.1
gd_00150,EU,DE,Pixel 8,Android 15
gd_00151,EU,UK,iPhone 15,iOS 17.2
gd_00152,NAM,CA,iPhone 15,iOS 17.2
gd_00153,LATAM,AR,Redmi Note 12,Android 12
gd_00154,APAC,ID,Pixel 7,Android 14
gd_00155,APAC,ID,iPhone 13,iOS 17.2
gd_00156,LATAM,AR,Pixel 8,Android 12
gd_00157,NAM,US,iPhone 14,iOS 17.2
gd_00158,APAC,JP,Pixel 7,Android 13
gd_00159,NAM,CA,Redmi Note 12,Android 12
gd_00160,NAM,US,Redmi Note 12,Android 13
gd_00161,EU,ES,iPhone 14,iOS 17.5
gd_00162,EU,UK,iPhone 15,iOS 17.5
gd_00163,MEA,ZA,Galaxy S23,Android 13
gd_00164,EU,FR,iPhone 14,iOS 17.5
gd_00165,LATAM,AR,Redmi Note 12,Android 13
gd_00166,APAC,PH,iPhone 13,iOS 17.2
gd_00167,APAC,JP,iPhone 13,iOS 17.5
gd_00168,MEA,ZA,iPhone 14,iOS 16.4
gd_00169,EU,ES,iPhone 15,iOS 16.4
gd_00170,EU,DE,iPhone 14,iOS 17.5
gd_00171,NAM,US,iPhone 14,iOS 18.1
gd_00172,EU,FR,iPhone 13,iOS 17.2
gd_00173,LATAM,BR,iPhone 14,iOS 16.4
gd_00174,EU,DE,Pixel 8,Android 15
gd_00175,EU,DE,Pixel 8,Android 12
gd_00176,NAM,US,Redmi Note 12,Android 13
gd_00177,EU,ES,Galaxy S23,Android 13
gd_00178,APAC,JP,iPhone 13,iOS 16.4
gd_00179,EU,ES,Pixel 7,Android 12
gd_00180,APAC,ID,Pixel 8,Android 14
gd_00181,APAC,JP,iPhone 13,iOS 18.1
gd_00182,LATAM,AR,Galaxy S23,Android 14
gd_00183,NAM,US,Galaxy S23,Android 15
gd_00184,APAC,PH,Redmi Note 12,Android 12
gd_00185,NAM,US,iPhone 14,iOS 16.4
gd_00186,EU,ES,Pixel 8,Android 12
gd_00187,APAC,JP,Galaxy A54,Android 15
gd_00188,APAC,JP,Galaxy A54,Android 12
gd_00189,NAM,US,Pixel 7,Android 14
gd_00190,LATAM,MX,Pixel 7,Android 12
gd_00191,NAM,CA,iPhone 13,iOS 18.1
gd_00192,APAC,PH,Galaxy A54,Android 15
gd_00193,MEA,NG,iPhone 13,iOS 17.2
gd_00194,APAC,ID,iPhone 15,iOS 18.1
gd_00195,LATAM,MX,iPhone 14,iOS 17.2
gd_00196,APAC,ID,Redmi Note 12,Android 13
gd_00197,LATAM,MX,Pixel 8,Android 15
gd_00198,APAC,IN,Galaxy S23,Android 15
gd_00199,APAC,IN,iPhone 13,iOS 17.2
gd_00200,NAM,CA,Redmi Note 12,Android 13
gd_00201,APAC,ID,Galaxy S23,Android 14
gd_00202,NAM,US,Pixel 7,Android 14
gd_00203,MEA,NG,Galaxy A54,Android 12
gd_00204,NAM,CA,iPhone 15,iOS 17.2
gd_00205,NAM,US,iPhone 15,iOS 18.1
gd_00206,LATAM,AR,Redmi Note 12,Android 14
gd_00207,NAM,US,Pixel 8,Android 12
gd_00208,EU,DE,iPhone 14,iOS 18.1
gd_00209,APAC,IN,iPhone 15,iOS 17.2
gd_00210,NAM,CA,Galaxy A54,Android 13
gd_00211,NAM,US,iPhone 14,iOS 18.1
gd_00212,EU,ES,iPhone 15,iOS 18.1
gd_00213,NAM,CA,Galaxy A54,Android 15
gd_00214,NAM,US,iPhone 13,iOS 16.4
gd_00215,NAM,CA,iPhone 13,iOS 17.2
gd_00216,EU,DE,Galaxy A54,Android 15
gd_00217,EU,FR,Pixel 8,Android 15
gd_00218,NAM,US,iPhone 14,iOS 17.5
gd_00219,APAC,JP,Galaxy S23,Android 15
gd_00220,APAC,IN,iPhone 14,iOS 17.2
gd_00221,NAM,US,iPhone 13,iOS 16.4
gd_00222,EU,FR,iPhone 13,iOS 17.5
gd_00223,LATAM,MX,Galaxy A54,Android 12
gd_00224,APAC,ID,iPhone 13,iOS 16.4
gd_00225,EU,UK,iPhone 13,iOS 17.2
gd_00226,EU,DE,Redmi Note 12,Android 14
gd_00227,NAM,CA,Pixel 7,Android 12
gd_00228,LATAM,AR,Galaxy S23,Android 12
gd_00229,MEA,ZA,Pixel 7,Android 15
gd_00230,MEA,NG,iPhone 15,iOS 17.2
gd_00231,NAM,US,Pixel 7,Android 15
gd_00232,EU,FR,iPhone 14,iOS 17.5
gd_00233,NAM,US,Galaxy S23,Android 15
gd_00234,EU,DE,Galaxy A54,Android 14
gd_00235,EU,ES,iPhone 13,iOS 17.2
gd_00236,APAC,ID,iPhone 14,iOS 17.2
gd_00237,NAM,US,Galaxy S23,Android 12
gd_00238,MEA,ZA,Pixel 8,Android 12
gd_00239,NAM,CA,iPhone 13,iOS 17.2
gd_00240,NAM,CA,iPhone 15,iOS 17.5
gd_00241,LATAM,BR,Galaxy S23,Android 15
gd_00242,APAC,PH,Galaxy S23,Android 14
gd_00243,EU,ES,iPhone 15,iOS 17.2
gd_00244,APAC,ID,Galaxy S23,Android 13
gd_00245,NAM,CA,iPhone 15,iOS 17.2
gd_00246,NAM,US,iPhone 15,iOS 18.1
gd_00247,EU,UK,iPhone 14,iOS 16.4
gd_00248,EU,FR,Pixel 8,Android 13
gd_00249,APAC,IN,iPhone 14,iOS 17.2
gd_00250,NAM,US,iPhone 13,iOS 17.2
gd_00251,APAC,ID,iPhone 15,iOS 17.2
gd_00252,APAC,IN,iPhone 13,iOS 17.2
gd_00253,NAM,CA,iPhone 15,iOS 16.4
gd_00254,NAM,CA,Galaxy A54,Android 12
gd_00255,EU,ES,Galaxy S23,Android 14
gd_00256,LATAM,MX,iPhone 13,iOS 17.5
gd_00257,APAC,IN,Pixel 7,Android 14
gd_00258,APAC,ID,Galaxy A54,Android 12
gd_00259,EU,DE,iPhone 15,iOS 17.5
gd_00260,NAM,CA,iPhone 13,iOS 16.4
gd_00261,APAC,IN,Pixel 7,Android 14
gd_00262,NAM,CA,iPhone 13,iOS 16.4
gd_00263,APAC,IN,iPhone 15,iOS 18.1
gd_00264,NAM,CA,iPhone 14,iOS 16.4
gd_00265,EU,FR,Pixel 7,Android 14
gd_00266,APAC,ID,Pixel 7,Android 15
gd_00267,EU,DE,iPhone 13,iOS 17.5
gd_00268,APAC,ID,iPhone 15,iOS 17.5
gd_00269,EU,UK,Galaxy A54,Android 12
gd_00270,MEA,AE,Galaxy S23,Android 12
gd_00271,LATAM,AR,iPhone 15,iOS 18.1
gd_00272,LATAM,BR,iPhone 13,iOS 17.5
gd_00273,APAC,JP,iPhone 14,iOS 17.2
gd_00274,APAC,JP,iPhone 13,iOS 17.5
gd_00275,APAC,PH,Redmi Note 12,Android 12
gd_00276,EU,ES,Galaxy S23,Android 13
gd_00277,EU,UK,Redmi Note 12,Android 14
gd_00278,APAC,IN,Galaxy S23,Android 12
gd_00279,NAM,CA,Galaxy S23,Android 14
gd_00280,NAM,US,Redmi Note 12,Android 12
gd_00281,LATAM,MX,iPhone 15,iOS 17.5
gd_00282,NAM,CA,iPhone 14,iOS 17.5
gd_00283,APAC,JP,Pixel 8,Android 12
gd_00284,APAC,IN,iPhone 14,iOS 17.5
gd_00285,NAM,US,Pixel 7,Android 14
gd_00286,LATAM,AR,iPhone 14,iOS 17.2
gd_00287,NAM,CA,iPhone 15,iOS 16.4
gd_00288,LATAM,MX,iPhone 15,iOS 18.1
gd_00289,APAC,JP,iPhone 14,iOS 16.4
gd_00290,NAM,CA,iPhone 14,iOS 17.2
gd_00291,NAM,CA,iPhone 15,iOS 18.1
gd_00292,EU,FR,iPhone 13,iOS 16.4
gd_00293,EU,FR,iPhone 13,iOS 17.2
gd_00294,NAM,CA,Pixel 7,Android 12
gd_00295,MEA,NG,iPhone 13,iOS 17.5
gd_00296,NAM,US,Redmi Note 12,Android 15
gd_00297,LATAM,AR,iPhone 13,iOS 16.4
gd_00298,NAM,US,Pixel 8,Android 13
gd_00299,MEA,NG,Galaxy A54,Android 12
gd_00300,NAM,US,Galaxy A54,Android 13
gd_00301,EU,UK,Redmi Note 12,Android 13
gd_00302,APAC,ID,iPhone 15,iOS 16.4
gd_00303,NAM,US,Galaxy S23,Android 14
gd_00304,LATAM,MX,iPhone 13,iOS 17.5
gd_00305,EU,FR,Pixel 7,Android 13
gd_00306,APAC,PH,iPhone 15,iOS 17.5
gd_00307,APAC,JP,iPhone 14,iOS 18.1
gd_00308,APAC,JP,Redmi Note 12,Android 13
gd_00309,NAM,CA,Pixel 8,Android 15
gd_00310,NAM,US,Galaxy A54,Android 15
gd_00311,NAM,CA,Galaxy A54,Android 13
gd_00312,EU,UK,Galaxy A54,Android 12
gd_00313,NAM,CA,Galaxy A54,Android 12
gd_00314,MEA,NG,Pixel 8,Android 15
gd_00315,APAC,PH,iPhone 13,iOS 17.2
gd_00316,APAC,JP,Pixel 7,Android 15
gd_00317,EU,DE,Galaxy S23,Android 13
gd_00318,EU,ES,Redmi Note 12,Android 12
gd_00319,APAC,PH,Galaxy A54,Android 12
gd_00320,EU,DE,Galaxy A54,Android 14
gd_00321,EU,UK,Pixel 8,Android 13
gd_00322,EU,FR,iPhone 14,iOS 16.4
gd_00323,APAC,JP,Galaxy S23,Android 14
gd_00324,MEA,NG,Pixel 7,Android 13
gd_00325,NAM,CA,Galaxy A54,Android 15
gd_00326,EU,UK,Pixel 8,Android 15
gd_00327,NAM,US,Galaxy S23,Android 15
gd_00328,EU,ES,iPhone 14,iOS 16.4
gd_00329,APAC,ID,Pixel 7,Android 13
gd_00330,NAM,US,Redmi Note 12,Android 15
gd_00331,APAC,ID,Pixel 8,Android 15
gd_00332,EU,DE,Galaxy A54,Android 12
gd_00333,NAM,CA,Galaxy A54,Android 15
gd_00334,MEA,ZA,Pixel 7,Android 15
gd_00335,EU,DE,iPhone 13,iOS 16.4
gd_00336,LATAM,MX,Galaxy S23,Android 15
gd_00337,EU,UK,Redmi Note 12,Android 13
gd_00338,MEA,NG,Galaxy A54,Android 12
gd_00339,EU,ES,iPhone 14,iOS 17.2
gd_00340,EU,DE,Redmi Note 12,Android 15
gd_00341,APAC,IN,iPhone 14,iOS 17.5
gd_00342,EU,FR,iPhone 15,iOS 18.1
gd_00343,EU,FR,iPhone 15,iOS 17.5
gd_00344,MEA,AE,Pixel 7,Android 15
gd_00345,APAC,JP,iPhone 14,iOS 18.1
gd_00346,APAC,JP,iPhone 13,iOS 16.4
gd_00347,APAC,IN,iPhone 13,iOS 16.4
gd_00348,LATAM,BR,Pixel 7,Android 15
gd_00349,LATAM,BR,iPhone 13,iOS 17.2
gd_00350,APAC,IN,Pixel 7,Android 14
gd_00351,EU,ES,iPhone 15,iOS 16.4
gd_00352,NAM,CA,Galaxy S23,Android 15
gd_00353,APAC,JP,Galaxy S23,Android 13
gd_00354,LATAM,AR,iPhone 15,iOS 17.2
gd_00355,EU,UK,Redmi Note 12,Android 15
gd_00356,NAM,US,iPhone 14,iOS 17.5
gd_00357,EU,ES,Galaxy S23,Android 15
gd_00358,APAC,ID,Galaxy A54,Android 12
gd_00359,LATAM,MX,iPhone 14,iOS 18.1
gd_00360,NAM,CA,iPhone 14,iOS 16.4
gd_00361,APAC,IN,iPhone 13,iOS 17.5
gd_00362,APAC,PH,iPhone 13,iOS 16.4
gd_00363,MEA,NG,Pixel 7,Android 14
gd_00364,NAM,US,iPhone 14,iOS 16.4
gd_00365,MEA,AE,iPhone 15,iOS 16.4
gd_00366,APAC,IN,iPhone 14,iOS 16.4
gd_00367,APAC,IN,Pixel 7,Android 15
gd_00368,NAM,US,Galaxy A54,Android 15
gd_00369,APAC,PH,Redmi Note 12,Android 13
gd_00370,APAC,IN,iPhone 14,iOS 16.4
gd_00371,EU,DE,Pixel 7,Android 12
gd_00372,EU,UK,Pixel 7,Android 15
gd_00373,APAC,ID,iPhone 14,iOS 16.4
gd_00374,APAC,IN,Redmi Note 12,Android 14
gd_00375,NAM,US,iPhone 13,iOS 16.4
gd_00376,EU,FR,Galaxy A54,Android 14
gd_00377,NAM,CA,Galaxy A54,Android 12
gd_00378,MEA,AE,Pixel 7,Android 15
gd_00379,MEA,NG,iPhone 13,iOS 18.1
gd_00380,EU,FR,Pixel 7,Android 14
gd_00381,NAM,CA,Galaxy S23,Android 14
gd_00382,NAM,CA,iPhone 13,iOS 17.5
gd_00383,EU,UK,Redmi Note 12,Android 13
gd_00384,LATAM,MX,iPhone 13,iOS 18.1
gd_00385,APAC,PH,iPhone 14,iOS 18.1
gd_00386,NAM,US,Galaxy A54,Android 14
gd_00387,NAM,CA,iPhone 13,iOS 17.2
gd_00388,NAM,US,iPhone 13,iOS 16.4
gd_00389,LATAM,BR,iPhone 15,iOS 18.1
gd_00390,APAC,IN,Pixel 7,Android 14
gd_00391,APAC,IN,iPhone 14,iOS 17.2
gd_00392,EU,FR,iPhone 13,iOS 17.5
gd_00393,MEA,NG,Pixel 7,Android 13
gd_00394,EU,FR,iPhone 14,iOS 18.1
gd_00395,LATAM,BR,Galaxy S23,Android 12
gd_00396,LATAM,BR,Pixel 8,Android 12
gd_00397,EU,FR,Redmi Note 12,Android 14
gd_00398,LATAM,BR,Pixel 7,Android 15
gd_00399,EU,FR,iPhone 14,iOS 18.1
gd_00400,APAC,PH,iPhone 13,iOS 18.1
gd_00401,NAM,US,iPhone 15,iOS 17.5
gd_00402,EU,FR,iPhone 14,iOS 18.1
gd_00403,NAM,CA,Galaxy A54,Android 14
gd_00404,NAM,US,Pixel 7,Android 12
gd_00405,NAM,CA,Galaxy S23,Android 13
gd_00406,EU,ES,iPhone 13,iOS 18.1
gd_00407,APAC,ID,Pixel 8,Android 13
gd_00408,EU,DE,Redmi Note 12,Android 13
gd_00409,EU,FR,Galaxy A54,Android 12
gd_00410,MEA,AE,Pixel 7,Android 15
gd_00411,MEA,AE,Pixel 8,Android 15
gd_00412,NAM,US,iPhone 15,iOS 17.2
gd_00413,EU,FR,iPhone 13,iOS 17.2
gd_00414,APAC,IN,Galaxy A54,Android 15
gd_00415,APAC,IN,iPhone 13,iOS 18.1
gd_00416,EU,UK,iPhone 14,iOS 17.5
gd_00417,APAC,ID,Redmi Note 12,Android 14
gd_00418,NAM,US,Galaxy A54,Android 12
gd_00419,EU,DE,iPhone 13,iOS 17.2
gd_00420,APAC,IN,iPhone 13,iOS 16.4
gd_00421,APAC,ID,Pixel 8,Android 14
gd_00422,LATAM,AR,Galaxy S23,Android 14
gd_00423,NAM,US,iPhone 13,iOS 17.5
gd_00424,NAM,CA,Redmi Note 12,Android 14
gd_00425,NAM,US,iPhone 13,iOS 17.2
gd_00426,NAM,US,Galaxy S23,Android 14
gd_00427,NAM,CA,iPhone 15,iOS 16.4
gd_00428,APAC,JP,Pixel 8,Android 13
gd_00429,APAC,IN,Galaxy S23,Android 14
gd_00430,APAC,JP,Pixel 7,Android 12
gd_00431,EU,UK,Galaxy A54,Android 14
gd_00432,NAM,US,iPhone 15,iOS 17.5
gd_00433,APAC,ID,iPhone 15,iOS 17.5
gd_00434,NAM,CA,iPhone 13,iOS 17.5
gd_00435,LATAM,MX,iPhone 14,iOS 16.4
gd_00436,NAM,CA,iPhone 15,iOS 17.5
gd_00437,APAC,IN,iPhone 15,iOS 17.2
gd_00438,LATAM,BR,Galaxy S23,Android 14
gd_00439,APAC,JP,iPhone 15,iOS 17.2
gd_00440,APAC,PH,iPhone 13,iOS 17.2
gd_00441,APAC,JP,Galaxy A54,Android 13
gd_00442,NAM,CA,Galaxy S23,Android 12
gd_00443,APAC,IN,iPhone 15,iOS 17.2
gd_00444,LATAM,AR,Galaxy S23,Android 13
gd_00445,MEA,NG,iPhone 14,iOS 17.2
gd_00446,EU,FR,Redmi Note 12,Android 14
gd_00447,EU,DE,iPhone 15,iOS 16.4
gd_00448,APAC,JP,Redmi Note 12,Android 12
gd_00449,APAC,JP,Pixel 7,Android 12
gd_00450,NAM,CA,iPhone 14,iOS 17.5
gd_00451,NAM,US,Galaxy A54,Android 13
gd_00452,NAM,CA,iPhone 15,iOS 18.1
gd_00453,EU,FR,Pixel 8,Android 13
gd_00454,NAM,US,iPhone 15,iOS 17.2
gd_00455,NAM,CA,Galaxy S23,Android 12
gd_00456,NAM,US,Pixel 8,Android 14
gd_00457,MEA,ZA,Redmi Note 12,Android 15
gd_00458,NAM,CA,iPhone 14,iOS 17.5
gd_00459,NAM,US,iPhone 14,iOS 18.1
gd_00460,EU,DE,iPhone 13,iOS 18.1
gd_00461,NAM,US,Pixel 7,Android 14
gd_00462,MEA,NG,Galaxy S23,Android 15
gd_00463,MEA,ZA,Galaxy A54,Android 13
gd_00464,EU,DE,Pixel 8,Android 14
gd_00465,EU,ES,iPhone 15,iOS 16.4
gd_00466,EU,DE,Galaxy A54,Android 14
gd_00467,NAM,CA,Galaxy A54,Android 14
gd_00468,EU,ES,Redmi Note 12,Android 13
gd_00469,NAM,CA,Redmi Note 12,Android 12
gd_00470,NAM,CA,Galaxy A54,Android 15
gd_00471,APAC,PH,Redmi Note 12,Android 13
gd_00472,NAM,CA,Galaxy A54,Android 14
gd_00473,NAM,CA,iPhone 15,iOS 17.2
gd_00474,EU,FR,Pixel 7,Android 13
gd_00475,EU,ES,iPhone 14,iOS 18.1
gd_00476,NAM,CA,Redmi Note 12,Android 14
gd_00477,NAM,US,Galaxy S23,Android 15
gd_00478,NAM,CA,Pixel 7,Android 14
gd_00479,NAM,US,iPhone 15,iOS 17.2
gd_00480,LATAM,MX,iPhone 14,iOS 18.1
gd_00481,MEA,ZA,iPhone 15,iOS 16.4
gd_00482,EU,DE,Pixel 7,Android 15
gd_00483,EU,DE,iPhone 13,iOS 17.5
gd_00484,APAC,JP,Galaxy S23,Android 12
gd_00485,APAC,ID,iPhone 13,iOS 18.1
gd_00486,NAM,US,Galaxy S23,Android 15
gd_00487,NAM,US,Pixel 8,Android 14
gd_00488,EU,DE,Pixel 8,Android 14
gd_00489,APAC,ID,Galaxy A54,Android 13
gd_00490,NAM,CA,iPhone 13,iOS 16.4
gd_00491,EU,DE,Redmi Note 12,Android 15
gd_00492,EU,UK,iPhone 13,iOS 16.4
gd_00493,NAM,US,iPhone 14,iOS 18.1
gd_00494,EU,FR,iPhone 15,iOS 18.1
gd_00495,APAC,IN,iPhone 13,iOS 18.1
gd_00496,APAC,IN,Redmi Note 12,Android 15
gd_00497,NAM,US,iPhone 13,iOS 17.2
gd_00498,NAM,US,Galaxy A54,Android 12
gd_00499,LATAM,MX,iPhone 15,iOS 17.2
gd_00500,EU,UK,Pixel 8,Android 15
gd_00501,NAM,CA,Pixel 8,Android 13
gd_00502,NAM,US,iPhone 15,iOS 18.1
gd_00503,LATAM,AR,iPhone 13,iOS 16.4
gd_00504,APAC,JP,iPhone 13,iOS 17.2
gd_00505,LATAM,BR,iPhone 13,iOS 17.2
gd_00506,APAC,ID,iPhone 14,iOS 18.1
gd_00507,EU,UK,Redmi Note 12,Android 15
gd_00508,EU,FR,iPhone 14,iOS 16.4
gd_00509,NAM,US,Galaxy S23,Android 12
gd_00510,APAC,ID,iPhone 15,iOS 17.5
gd_00511,APAC,IN,iPhone 13,iOS 16.4
gd_00512,NAM,US,Redmi Note 12,Android 12
gd_00513,LATAM,MX,Pixel 8,Android 13
gd_00514,EU,UK,Pixel 8,Android 15
gd_00515,NAM,CA,Redmi Note 12,Android 12
gd_00516,EU,DE,iPhone 14,iOS 17.5
gd_00517,LATAM,BR,Galaxy S23,Android 14
gd_00518,MEA,AE,iPhone 13,iOS 17.2
gd_00519,EU,DE,Galaxy S23,Android 13
gd_00520,MEA,AE,Galaxy A54,Android 15
gd_00521,LATAM,AR,iPhone 13,iOS 16.4
gd_00522,LATAM,BR,Pixel 7,Android 15
gd_00523,LATAM,MX,iPhone 13,iOS 17.2
