epoch_minute	utc_minute	expected_concurrent
1786802760	2026-08-15 14:06	6
1786802820	2026-08-15 14:07	6
1786802880	2026-08-15 14:08	6
1786802940	2026-08-15 14:09	6
1786803000	2026-08-15 14:10	6
1786803060	2026-08-15 14:11	6
1786803120	2026-08-15 14:12	6
1786803180	2026-08-15 14:13	6
1786803240	2026-08-15 14:14	6
1786803300	2026-08-15 14:15	6
1786809600	2026-08-15 16:00	10
1786809660	2026-08-15 16:01	10
1786809720	2026-08-15 16:02	10
1786809780	2026-08-15 16:03	10
1786809840	2026-08-15 16:04	10
1786809900	2026-08-15 16:05	10
1786809960	2026-08-15 16:06	10
1786810020	2026-08-15 16:07	10
1786810080	2026-08-15 16:08	10
1786810140	2026-08-15 16:09	10
1786810200	2026-08-15 16:10	10
1786810260	2026-08-15 16:11	10
1786810320	2026-08-15 16:12	10
1786810380	2026-08-15 16:13	10
1786810440	2026-08-15 16:14	10
1786810500	2026-08-15 16:15	10
1786810560	2026-08-15 16:16	10
1786810620	2026-08-15 16:17	10
1786810680	2026-08-15 16:18	10
1786810740	2026-08-15 16:19	10
1786810800	2026-08-15 16:20	10
1786810860	2026-08-15 16:21	10
1786813200	2026-08-15 17:00	2
1786813260	2026-08-15 17:01	2
1786813320	2026-08-15 17:02	2
1786813380	2026-08-15 17:03	2
1786813440	2026-08-15 17:04	2
1786813500	2026-08-15 17:05	2
1786813560	2026-08-15 17:06	2
1786813620	2026-08-15 17:07	2
1786813680	2026-08-15 17:08	2
1786813740	2026-08-15 17:09	2
1786813800	2026-08-15 17:10	2
1786813860	2026-08-15 17:11	2
1786813920	2026-08-15 17:12	2
1786813980	2026-08-15 17:13	2
1786814040	2026-08-15 17:14	2
1786814100	2026-08-15 17:15	2
1786814160	2026-08-15 17:16	2
1786815000	2026-08-15 17:30	1
1786815060	2026-08-15 17:31	1
1786815120	2026-08-15 17:32	1
1786815180	2026-08-15 17:33	1
1786815240	2026-08-15 17:34	1
1786815300	2026-08-15 17:35	1
1786815360	2026-08-15 17:36	1
1786815420	2026-08-15 17:37	1
1786815480	2026-08-15 17:38	1
1786815540	2026-08-15 17:39	1
1786815600	2026-08-15 17:40	1
1786815660	2026-08-15 17:41	1
1786815720	2026-08-15 17:42	1
1786815780	2026-08-15 17:43	1
1786815840	2026-08-15 17:44	1
1786815900	2026-08-15 17:45	1
1786815960	2026-08-15 17:46	1
1786816800	2026-08-15 18:00	6
1786816860	2026-08-15 18:01	6
1786816920	2026-08-15 18:02	6
1786816980	2026-08-15 18:03	6
1786817040	2026-08-15 18:04	6
1786817100	2026-08-15 18:05	6
1786817160	2026-08-15 18:06	6
1786817220	2026-08-15 18:07	6
1786817280	2026-08-15 18:08	6
1786817340	2026-08-15 18:09	6
1786817400	2026-08-15 18:10	6
1786817460	2026-08-15 18:11	6
1786817520	2026-08-15 18:12	6
1786817580	2026-08-15 18:13	6
1786817640	2026-08-15 18:14	6
1786817700	2026-08-15 18:15	6
1786817760	2026-08-15 18:16	6
1786817820	2026-08-15 18:17	6
1786817880	2026-08-15 18:18	6
1786817940	2026-08-15 18:19	6
1786818000	2026-08-15 18:20	6
1786818060	2026-08-15 18:21	6
1786824000	2026-08-15 20:00	30
1786824060	2026-08-15 20:01	30
1786824120	2026-08-15 20:02	30
1786824180	2026-08-15 20:03	30
1786824240	2026-08-15 20:04	30
1786824300	2026-08-15 20:05	30
1786824360	2026-08-15 20:06	30
1786824420	2026-08-15 20:07	30
1786824480	2026-08-15 20:08	30
1786824540	2026-08-15 20:09	30
1786824600	2026-08-15 20:10	30
1786824660	2026-08-15 20:11	30
1786824720	2026-08-15 20:12	30
1786824780	2026-08-15 20:13	30
1786824840	2026-08-15 20:14	30
1786824900	2026-08-15 20:15	30
1786824960	2026-08-15 20:16	30
1786825020	2026-08-15 20:17	30
1786825080	2026-08-15 20:18	30
1786825140	2026-08-15 20:19	30
1786825200	2026-08-15 20:20	30
1786825260	2026-08-15 20:21	30
1786825320	2026-08-15 20:22	30
1786825380	2026-08-15 20:23	30
1786825440	2026-08-15 20:24	30
1786825500	2026-08-15 20:25	30
1786825560	2026-08-15 20:26	30
1786825620	2026-08-15 20:27	30
1786825680	2026-08-15 20:28	30
1786825740	2026-08-15 20:29	30
1786825800	2026-08-15 20:30	30
1786825860	2026-08-15 20:31	30
1786828200	2026-08-15 21:10	30
1786828260	2026-08-15 21:11	30
1786828320	2026-08-15 21:12	30
1786828380	2026-08-15 21:13	30
1786828440	2026-08-15 21:14	30
1786828500	2026-08-15 21:15	30
1786828560	2026-08-15 21:16	30
1786828620	2026-08-15 21:17	30
1786828680	2026-08-15 21:18	30
1786828740	2026-08-15 21:19	30
1786828800	2026-08-15 21:20	30
1786828860	2026-08-15 21:21	30
1786828920	2026-08-15 21:22	30
1786828980	2026-08-15 21:23	30
1786829040	2026-08-15 21:24	30
1786829100	2026-08-15 21:25	30
1786829160	2026-08-15 21:26	30
1786829220	2026-08-15 21:27	30
1786829280	2026-08-15 21:28	30
1786829340	2026-08-15 21:29	30
1786829400	2026-08-15 21:30	30
1786829460	2026-08-15 21:31	30
1786829520	2026-08-15 21:32	30
1786829580	2026-08-15 21:33	30
1786829640	2026-08-15 21:34	30
1786829700	2026-08-15 21:35	30
1786829760	2026-08-15 21:36	30
1786829820	2026-08-15 21:37	30
1786829880	2026-08-15 21:38	30
1786829940	2026-08-15 21:39	30
1786830000	2026-08-15 21:40	30
1786830060	2026-08-15 21:41	30
1786834800	2026-08-15 23:00	12
1786834860	2026-08-15 23:01	12
1786834920	2026-08-15 23:02	12
1786834980	2026-08-15 23:03	12
1786835040	2026-08-15 23:04	12
1786835100	2026-08-15 23:05	12
1786835160	2026-08-15 23:06	12
1786835220	2026-08-15 23:07	12
1786835280	2026-08-15 23:08	12
1786835340	2026-08-15 23:09	12
1786835400	2026-08-15 23:10	12
1786835460	2026-08-15 23:11	12
1786835520	2026-08-15 23:12	12
1786835580	2026-08-15 23:13	12
1786835640	2026-08-15 23:14	12
1786835700	2026-08-15 23:15	12
1786835760	2026-08-15 23:16	12
1786835820	2026-08-15 23:17	12
1786835880	2026-08-15 23:18	12
1786835940	2026-08-15 23:19	12
1786836000	2026-08-15 23:20	12
1786836060	2026-08-15 23:21	12
1786836120	2026-08-15 23:22	12
1786836180	2026-08-15 23:23	12
1786836240	2026-08-15 23:24	12
1786836300	2026-08-15 23:25	12
1786836360	2026-08-15 23:26	12
1786836420	2026-08-15 23:27	12
1786836480	2026-08-15 23:28	12
1786836540	2026-08-15 23:29	12
1786836600	2026-08-15 23:30	12
1786836660	2026-08-15 23:31	12
1786836720	2026-08-15 23:32	12
1786836780	2026-08-15 23:33	12
1786836840	2026-08-15 23:34	12
1786836900	2026-08-15 23:35	12
1786836960	2026-08-15 23:36	12
1786837020	2026-08-15 23:37	12
1786837080	2026-08-15 23:38	12
1786837140	2026-08-15 23:39	12
1786837200	2026-08-15 23:40	12
1786837260	2026-08-15 23:41	12
1786837320	2026-08-15 23:42	12
1786837380	2026-08-15 23:43	12
1786837440	2026-08-15 23:44	12
1786837500	2026-08-15 23:45	12
1786837560	2026-08-15 23:46	12
1786837620	2026-08-15 23:47	12
1786837680	2026-08-15 23:48	12
1786837740	2026-08-15 23:49	12
1786837800	2026-08-15 23:50	12
1786837860	2026-08-15 23:51	12
1786837920	2026-08-15 23:52	12
1786837980	2026-08-15 23:53	12
1786838040	2026-08-15 23:54	12
1786838100	2026-08-15 23:55	12
1786838160	2026-08-15 23:56	12
1786838220	2026-08-15 23:57	12
1786838280	2026-08-15 23:58	12
1786838340	2026-08-15 23:59	12
1786838400	2026-08-16 00:00	12
