advertiser_id,vertical,campaign_type
adv_0479,entertainment,CPM
adv_0480,travel,CPI
adv_0481,cpg,CPI
adv_0482,finance,CPM
adv_0483,travel,CPM
adv_0484,cpg,CPC
adv_0485,ecommerce,CPC
adv_0486,travel,CPM
adv_0487,auto,CPM
adv_0488,ecommerce,CPM
adv_0489,finance,CPM
adv_0490,auto,CPI
adv_0491,cpg,CPI
adv_0492,finance,CPC
adv_0493,ecommerce,CPC
adv_0494,cpg,CPI
adv_0495,travel,CPM
adv_0496,finance,CPM
adv_0497,ecommerce,CPI
adv_0498,auto,CPM
adv_0499,entertainment,CPC
